Indicator Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Homicidios intencionales (por cada 100.000 habitantes),22.1421333443662,19.4088627449964,16.6257963712841,17.0378286489603,19.9126953296236,25.7089978030143,29.0710616247707,28.7367023185144,28.3706033950892,
Internally displaced persons new displacement associated with disasters (number of cases),6500,158000,18000,91000,12000,195000,20000,16000,101000,19000
Servicios de transporte (% de las exportaciones de servicios comerciales),5.90808882945038,4.45741016830043,4.12001713640593,6.28142614966808,6.64169971096672,6.94564695146686,7.61050218989994,9.30826578634051,11.5009265046107,8.9149519936327
Computación comunicaciones y otros servicios (% de las exportaciones de servicios comerciales),2.54115697575629,1.65237476865451,1.34357160321431,1.1550418658674,0.673448513501413,0.577732244236969,1.71100021156241,1.54581590381547,2.34641407985353,2.26975852380441
Mercaderías exportadas por la economía informante excedente (% del total de mercaderías exportadas),0.756786417455565,0.708201518361117,0.505927228568405,0.436907314560801,0.278528909972884,0.407037781517367,0.408160181756461,0.258807782824292,0.226984956798458,
Mercaderías exportadas hacia economías en desarrollo en América Latina y el Caribe (% del total de mercaderías exportadas),6.00314049140977,5.68250200649974,5.08858140554377,4.66303776579531,4.28548965915594,4.22618328273491,4.12360659665907,3.84348399058627,3.49046952150964,
Mercaderías exportadas hacia economías de ingreso alto (% del total de mercaderías exportadas),90.0638587264342,90.1054937305106,91.5495054344266,92.5909669010606,92.4566214026324,92.0578465829574,92.1222735976109,92.7371273371486,93.0667212631205,
Exportaciones de productos manufacturados (% de las exportaciones de mercaderías),72.7215746495613,75.0893659325092,76.7092825210337,80.8520050396853,80.9065097304957,80.3561587218026,79.4717801641611,79.9687313715216,79.1798885226162,76.5016372591681
Exportaciones de alimentos (% de exportaciones de mercaderías),5.75692150001438,6.25309488866841,6.2648835755353,6.83651257140708,7.54165496928896,7.73247769635274,7.46175565982279,7.84793817808792,9.06814552644513,8.53983346525731
Medium and high-tech exports (% manufactured exports),78.5937023257289,78.3308121520575,79.9200147586998,80.9011745085588,80.7553549659721,80.941133361622,81.000571342817,81.7266108060951,,
Importaciones de servicios comerciales (US$ a precios actuales),31087014236,31940058265,34243029853,32436414151,32798086288,36826137441,39711291217,39353688121,28040663827,38489365001
Mercaderías importadas por la economía informante (US$ actuales),392997000000,404083000000,423983000000,418969000000,410313000000,445618000000,492161000000,482556000000,405965000000,
Mercaderías importadas desde economías en desarrollo de Oriente Medio y Norte de África (% del total de mercaderías importadas),0.135367079138009,0.114753171996842,0.0841303731517537,0.0859412414760997,0.105051119511202,0.146640413986868,0.13209051509567,0.119305684728819,0.127450662002882,
Mercaderías importadas desde economías en desarrollo fuera de la región (% del total de mercaderías importadas),20.5928910195243,21.5784949428707,22.7080252132751,24.7367869794663,25.6227192996566,25.3171479652976,25.8916664262304,26.8707109226701,28.4855712733856,
Importaciones de minerales y metales (% de importaciones de mercaderías),2.63320429883726,2.29278404899715,2.12117664712352,2.10119550687819,2.07890403478287,2.25174386231978,2.49485040915426,2.37586219648936,2.6467668700827,2.74412815070854
Importaciones de combustibles (% de importaciones de mercaderías),8.99059081818562,8.62961231397265,7.49269955522183,6.33580155276939,6.19935425514006,8.21179922119987,9.82852205264263,8.82656007691408,6.48086342779823,8.3557059031494
Tasa arancelaria nación más favorecida promedio ponderado productos primarios (%),11,9.95,8.92,8.06,6.91,5.46,4.7,,,
Tasa arancelaria aplicada media simple productos primarios (%),11.51,10.75,4.95,9.42,9.41,4.5,4.52,,,
Tasa arancelaria nación más favorecida promedio ponderado todos los productos (%),5.17,4.87,4.64,4.45,4.35,4.32,3.92,,,
Tasa arancelaria aplicada media simple todos los productos (%),6.82,6.5,3.02,6.07,6.17,2.97,3.28,,,
Tasa arancelaria nación más favorecida promedio ponderado productos manufacturados (%),3.76,3.69,3.67,3.75,3.85,4.06,3.73,,,
Tasa arancelaria aplicada media simple productos manufacturados (%),6.32,6.06,2.82,5.72,5.8,2.8,3.14,,,
Índice del volumen de las importaciones (2000 = 100),143.319926,147.5832528,154.2657713,157.3330453,155.6620219,164.9579779,175.6710244,172.4126025,146.1508736,
Turismo internacional gastos por artículos de viaje (US$ a precios actuales),8449000000,9122000000,9606000000,10098000000,10303000000,10840000000,11230000000,9881000000,3475000000,
Turismo internacional recibos (% del total de exportaciones),3.43445366637641,3.58831122982709,3.96481891792555,4.63720199259581,5.17384230466432,5.13647127019723,4.95761137844373,5.24645237944054,2.63579607483747,
Necesidades de anticoncepción insatisfechas (% de mujeres casadas entre 15 y 49 años de edad),,,11.4,12.92496526,,,10.8,,,
Población rural (% de la población total),21.595,21.301,21.007,20.715,20.423,20.133,19.844,19.556,19.269,18.984
Exhaustividad de registro de nacimientos (%),,,,95,,,,,97,
Completeness of birth registration female (%),,,,94.5,,,,,,
Población mujeres,59081795,59862821,60610526,61325120,62029592,62712641,63328698,63898082,64410851,64849001
Crecimiento de la población (% anual),1.39661546186197,1.317160792789,1.2414667155537,1.16700884975484,1.13323428792033,1.08042073770937,0.951668643927897,0.860265089734684,0.727243815691995,0.559420832085433
Proporción de sexos al nacer (mujeres cada 1000 hombres),1.039,1.039,1.039,1.039,1.039,1.039,1.039,1.039,1.039,
Población de 75 a 79 años mujeres (% de la población femenina),1.25975862158351,1.29424321650328,1.32795251874198,1.35813675245856,1.38362266365042,1.40690215868919,1.43281802509188,1.46170193340076,1.48588086102046,1.50994462898468
Población de 65 años de edad y más total,7459617,7750137,8058072,8391070,8747777,9120471,9509632,9859108,10106622,10305738
Población de 65 años de edad y más mujeres,4023610,4182812,4350872,4531812,4724824,4926134,5136437,5333106,5495791,5649677
Población de 50 a 64 años mujeres (% de la población femenina),2.9668724771046,3.07365568355023,3.18796114051181,3.30321160966981,3.41859492306031,3.53530478807295,3.65370925516264,3.76665374713438,3.86185088489089,3.94814257777188
Población de 50 a 54 años mujeres (% de la población femenina),4.78882373824986,4.89616167604263,4.99858395057142,5.09931570374982,5.19646973337766,5.29321991079916,5.39765399882372,5.50321839081179,5.60003318074491,5.69507775220067
Población de 40 a 44 años mujeres (% de la población femenina),6.57012796048366,6.64874948008214,6.71329272668986,6.7610156591539,6.7942160026281,6.82008113802766,6.84706481728079,6.8730435445621,6.89187685854265,6.9062182384754
Población de 30 a 34 años mujeres (% de la población femenina),7.76729877424424,7.74264547272171,7.71782782183599,7.70533015096155,7.69316113111657,7.67329508575472,7.65614429653994,7.65272500667547,7.66344251268658,7.68402899286011
Prevalencia del hábito de fumar mujeres (% de adultos),,,,7.4,,,6.6,6.4,6.2,
Riesgo de mortalidad materna a lo largo de la vida (1 en: la tasa varía según el país),990,1100,1100,1200,1300,1300,,,,
Incidencia de paludismo (por cada 1000 habitantes en riesgo),0.335047855935053,0.196496019467,0.257100843102643,0.200124332564061,0.210734292359218,0.278231521136334,0.300159536849723,0.228499508800004,0.13024196469272,
Comunidad de trabajadores de la salud (por cada 1.000 personas),,,,,,,,,,
Inmunización HepB3 (% de niños de un año),99,82,84,76,82,58,55,56,77,80
Young people (ages 15-24) newly infected with HIV,6700,6700,6800,6800,6700,6600,6500,6300,6200,5900
Adultos (de 15 años en adelante) recientemente infectados por el VIH,18000,18000,18000,19000,18000,18000,18000,18000,17000,17000
Niños (0-14) que viven con VIH,3100,3100,3200,3200,3300,3300,3400,3400,3400,3400
People using at least basic drinking water services (% of population),96.71644433,97.15725463,97.5936259,98.02544354,98.45286453,98.87578129,99.26913243,99.47726394,99.67956828,
 Tasa de mortalidad neonatal (por cada 1.000 nacidos vivos),8.7,8.5,8.3,8.3,8.4,8.6,8.7,8.6,8.4,
Tasa de mortalidad menores de 5 años varones (cada 1000),19.6,19,18.4,17.7,17.1,16.6,16,15.5,14.9,
Mujeres adultas con VIH (% de la población mayores de 15 años con VIH),18.5,18.7,18.8,18.9,19,19,19,19,19,18.9
Probability of dying among children ages 5-9 years (per 1000),1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,
Causa de muerte por lesiones (% del total),,,,10.1501120910894,,,,10.4962551679616,,
Number of deaths ages 15-19 years,9456,8848,8446,8426,8627,8882,9145,9432,9722,
Uso de preservativos población entre 15-24 años mujeres (% de mujeres entre 15-24 años),,,,37.7,,,,,,
Total alcohol consumption per capita male (liters of pure alcohol projected estimates male 15+ years of age),,,,7.83,,,7.95,,,
Mujeres que creen que está justificado que un marido golpee a su esposa (cualquiera de las cinco razones) (%),,,,,,,,,,
Mujeres que creen que está justificado que un marido golpee a su esposa cuando ella discute con él (%),,,,,,,,,,
Women Business and the Law Index Score (scale 1-100),77.5,85.625,88.75,88.75,88.75,88.75,88.75,88.75,88.75,88.75
